job_id	job_role	company	title	experience	education	employment_type	skills	embedding_text
54433761	인사/노무	(주)에스테이트	[일경험]인턴형 참여자 모집(경영사무/마케팅/인사/교육/사서/IT)	인턴/교육생	학력무관	기타/미상	데이터, Python, AI, 기획, 전략, 회계, 재무, 세무/결산, 영업/세일즈, 마케팅, 인사(HR), 노무, 채용, 법률/법무	제목: [일경험]인턴형 참여자 모집(경영사무/마케팅/인사/교육/사서/IT). 직무: 인사·HR·총무. 요구역량: 데이터, python, AI, 백엔드, 프론트엔드, 개발, 영업, 전략, 판매, 홍보, 콘텐츠, 광고, 디자인, 세무, 회계, 재무, 자금, 노무, HRD, HR, 인사, 급여, 사무, 총무, 법무. 경력: 인턴/교육생. 학력: 학력무관. 고용형태: 기타/미상.
54320096	인사/노무	(주)아이샵케어	토스플레이스 자회사 [iShopCARE] 대규모 채용｜ 영업·마케팅·인사·전략·CX·물류·AS·MD  外	신입·경력	학력무관	정규직·계약직	데이터, SQL, AI, BI, Excel, PPT, Office, 문서화, 기획, 전략, 프로젝트관리(PM), 고객관리, 회계, 재무, 세무/결산, 예산, ERP, 영업/세일즈, 마케팅, CRM, 인사(HR), 노무, 채용, 법률/법무	제목: 토스플레이스 자회사 [iShopCARE] 대규모 채용｜ 영업·마케팅·인사·전략·CX·물류·AS·MD  外. 직무: 인사·HR·총무. 요구역량: 데이터, sql, AI, BI, excel, JAVA, API, 백엔드, 프론트엔드, 클라우드, AWS, 개발, 엔지니어, 영업, 세일즈, 전략, 판매, 상품기획, md, 홍보, 콘텐츠, 브랜드, 광고, SNS, 디자인, 영상, 세무, 회계, 재무, 결산, 자금, 더존, ERP, 노무, HRD, 인사, 급여, 사무, 총무, 법무. 우대역량: CPA, CFA. 경력: 신입·경력. 학력: 학력무관. 고용형태: 정규직·계약직.
54394399	인사/노무	선인자동차(주)	[선인자동차] 포드링컨 총무/인사 사원 모집	경력	초대졸	계약직	Excel, 기획, 전략, 회계, 재무, 세무/결산, ERP, 인사(HR), 노무, 채용, 법률/법무	제목: [선인자동차] 포드링컨 총무/인사 사원 모집. 직무: 인사·HR·총무. 요구역량: excel, 전략, 판매, 세무, 회계, 재무, 더존, 노무, HRD, 인사, 사무, 총무, 법무. 경력: 경력. 학력: 초대졸. 고용형태: 계약직.
54444259	인사/노무	(주)잇올	[잇올 본사] 인사팀 직무별 채용(인사운영/노무)	경력	대졸	정규직	기획, 인사(HR), 노무, 채용	제목: [잇올 본사] 인사팀 직무별 채용(인사운영/노무). 직무: 인사·HR·총무. 요구역량: 노무, HRD, 인사, 급여. 우대역량: 노무사. 경력: 경력. 학력: 대졸. 고용형태: 정규직.
54319236	인사/노무	효성중공업(주)	2026년 7월 효성중공업㈜ 경력/신입사원 수시채용	신입·경력	학력무관	정규직	데이터, Python, 기획, 전략, 프로젝트관리(PM), 인사(HR), 노무, 채용	제목: 2026년 7월 효성중공업㈜ 경력/신입사원 수시채용. 직무: 인사·HR·총무. 요구역량: 데이터, python, API, 개발, 설계, 엔지니어, 전략, 노무, HRD, 인사. 우대역량: 노무사. 경력: 신입·경력. 학력: 학력무관. 고용형태: 정규직.
54377746	인사/노무	(주)맨파워그룹코리아	[선릉역/맨파워]본사 파견직 채용 및 관리 컨설턴트 경력직 채용	경력	초대졸	정규직·계약직	데이터, Office, 프로젝트관리(PM), 영업/세일즈, 마케팅, 인사(HR), 노무, 채용, 계약	제목: [선릉역/맨파워]본사 파견직 채용 및 관리 컨설턴트 경력직 채용. 직무: 인사·HR·총무. 경력: 경력. 학력: 초대졸. 고용형태: 정규직·계약직.
54447052	인사/노무	에어프레미아(주)	HR Operations 담당자	신입·경력	학력무관	정규직	데이터, 커뮤니케이션, 협업, 기획, 인사(HR), 채용	제목: HR Operations 담당자. 직무: 인사·HR·총무. 요구역량: 데이터, 커뮤니케이션, 협업, HR. 경력: 신입·경력. 학력: 학력무관. 고용형태: 정규직.
54403261	인사/노무	(주)맨파워그룹코리아	맨파워그룹코리아 시니어인턴 채용(파견직 채용, 관리 컨설턴트)	경력	대졸	계약직	데이터, Office, 프로젝트관리(PM), 고객관리, 영업/세일즈, 마케팅, 인사(HR), 노무, 채용, 계약, 컴플라이언스	제목: 맨파워그룹코리아 시니어인턴 채용(파견직 채용, 관리 컨설턴트). 직무: 인사·HR·총무. 요구역량: HR. 우대역량: 노무, 급여. 경력: 경력. 학력: 대졸. 고용형태: 계약직.
54445789	인사/노무	(주)맨파워그룹코리아	[선릉역/맨파워] 본사 인턴직 채용 (정규직 전환 전형)	인턴/교육생	초대졸	기타/미상	Office, 보고서작성, 프로젝트관리(PM), 영업/세일즈, 마케팅, 인사(HR), 노무, 채용, 계약, 컴플라이언스	제목: [선릉역/맨파워] 본사 인턴직 채용 (정규직 전환 전형). 직무: 인사·HR·총무. 우대역량: 영업. 경력: 인턴/교육생. 학력: 초대졸. 고용형태: 기타/미상.
54324344	인사/노무	(주)바임	[JUVELOOK] 총무 (유지보수, 네트워크 등) 경력 채용	경력	고졸	정규직	Office, 커뮤니케이션, 예산, 인사(HR), 채용, 법률/법무	제목: [JUVELOOK] 총무 (유지보수, 네트워크 등) 경력 채용. 직무: 인사·HR·총무. 요구역량: 인사, 총무. 우대역량: 커뮤니케이션. 경력: 경력. 학력: 고졸. 고용형태: 정규직.
